X,Y,R,T
-4.56227e-10,-1.3074e-11,4.57193e-10,-178.44
-4.56852e-10,-1.24488e-11,4.57193e-10,-178.398
-4.5708e-10,-1.31877e-11,4.57364e-10,-178.428
-4.57478e-10,-1.25056e-11,4.57478e-10,-178.458
-4.56057e-10,-1.32446e-11,4.56682e-10,-178.362
-4.57876e-10,-1.14256e-11,4.56852e-10,-178.446
-4.56227e-10,-1.22782e-11,4.55602e-10,-178.536
-4.5725e-10,-1.33014e-11,4.57819e-10,-178.416
-4.5725e-10,-1.18803e-11,4.57364e-10,-178.524
-4.56341e-10,-1.2733e-11,4.56625e-10,-178.56
-4.58217e-10,-1.09708e-11,4.58387e-10,-178.716
